-chr10:33195990-33196071,-chr10:33197295-33197462,-chr10:33189245-33190563
+chr3:158311170-158311210,+chr3:158310222-158310370,+chr3:158314650-158314734
-chr2:106013103-106013154,-chr2:106015298-106015681,-chr2:106002817-106002997
+chr1:202544129-202544310,+chr1:202538274-202538325,+chr1:202549601-202557697
-chr11:111956701-111957034,-chr11:111957363-111957522,-chr11:111955538-111956186
+chr3:158311170-158311215,+chr3:158310222-158310370,+chr3:158314650-158314734
-chr2:86397871-86397967,-chr2:86398330-86398435,-chr2:86393630-86393767
+chr3:37402733-37402796,+chr3:37396591-37396678,+chr3:37407570-37408370
+chr12:56554409-56554454,+chr12:56554026-56554104,+chr12:56555170-56555366
-chr10:97096277-97096562,-chr10:97098889-97099084,-chr10:97081719-97081778
+chr9:96069058-96069103,+chr9:96060134-96060349,+chr9:96070609-96070866
-chr18:47018105-47018203,-chr18:47018644-47018834,-chr18:47017901-47017954
+chr1:167985018-167985189,+chr1:167973770-167974031,+chr1:167992225-167992285
+chr1:168020129-168020171,+chr1:168014137-168014465,+chr1:168032858-168032997
+chr1:78383250-78383442,+chr1:78381739-78381818,+chr1:78383644-78383723
-chr8:86127149-86127266,-chr8:86129614-86129731,-chr8:86126287-86126860
+chr4:114299245-114299337,+chr4:114295919-114296102,+chr4:114302612-114304896
+chr4:169846383-169846429,+chr4:169846095-169846229,+chr4:169847363-169849608
+chr4:169817699-169817750,+chr4:169815729-169815828,+chr4:169819643-169819865
-chr14:23536522-23537880,-chr14:23538684-23538826,-chr14:23535174-23535217
-chr12:91550851-91550965,-chr12:91572118-91572362,-chr12:91546872-91546966
-chr17:49053223-49053262,-chr17:49054468-49054582,-chr17:49052131-49052308
-chr3:47323629-47323875,-chr3:47323984-47324337,-chr3:47318771-47318869
-chr1:19669245-19669358,-chr1:19670851-19670928,-chr1:19665266-19666111
+chr19:11650109-11650384,+chr19:11649578-11649805,+chr19:11651890-11652012
+chr19:11650109-11650375,+chr19:11649578-11649805,+chr19:11651890-11652012
-chr1:46151247-46151292,-chr1:46152083-46152302,-chr1:46125855-46126897
+chr4:119200098-119200292,+chr4:119199916-119199947,+chr4:119200543-119200586
+chr1:10166254-10166641,+chr1:10165573-10165802,+chr1:10177516-10177658
-chr6:79911779-79911872,-chr6:79911992-79912106,-chr6:79910961-79911443
+chr22:31489769-31489862,+chr22:31487660-31487833,+chr22:31491288-31491441
-chr2:62115158-62115392,-chr2:62115515-62115791,-chr2:62112154-62112207
-chr10:34625126-34625171,-chr10:34626202-34626354,-chr10:34620044-34620272
+chr3:186502750-186502890,+chr3:186502352-186502485,+chr3:186503671-186503840
+chr12:111065734-111066029,+chr12:111064166-111064297,+chr12:111066571-111066723
+chr13:76381615-76382335,+chr13:76378424-76378677,+chr13:76383289-76383319
+chr17:33997875-33997917,+chr17:33984617-33984810,+chr17:33998772-33998919
-chr1:111493909-111495437,-chr1:111506242-111506566,-chr1:111492472-111492745
-chr4:114376881-114376977,-chr4:114378490-114378719,-chr4:114372187-114375671
+chr6:127607194-127607322,+chr6:127601375-127601485,+chr6:127607760-127609705
-chr15:30011980-30012220,-chr15:30012561-30012912,-chr15:30010469-30011342
+chr10:86259630-86259715,+chr10:86237330-86237420,+chr10:86273204-86278276
+chr8:17840741-17840798,+chr8:17829837-17830196,+chr8:17842955-17843128
+chr5:96066483-96066564,+chr5:96065315-96065429,+chr5:96071875-96071944
+chr3:129185732-129185909,+chr3:129183477-129183624,+chr3:129188184-129188260
-chr10:97096277-97097051,-chr10:97098889-97099084,-chr10:97081719-97081778
+chr1:46072992-46074009,+chr1:46072153-46072263,+chr1:46078840-46078920
+chr15:63336225-63336351,+chr15:63335904-63336030,+chr15:63349183-63349317
+chr15:63335904-63336030,+chr15:63334837-63335142,+chr15:63336225-63336351
-chr1:115284147-115284294,-chr1:115292441-115292828,-chr1:115282312-115282511
+chr17:17083920-17083983,+chr17:17083316-17083402,+chr17:17088136-17095962
+chr10:75871666-75871870,+chr10:75868728-75868914,+chr10:75873941-75874145
+chrX:135290613-135290800,+chrX:135289950-135290120,+chrX:135292029-135293518
+chr17:46926613-46926739,+chr17:46925683-46925817,+chr17:46928450-46928539
-chr1:160253319-160253429,-chr1:160254844-160254941,-chr1:160252733-160252899
-chr1:182359631-182359987,-chr1:182360813-182361341,-chr1:182357706-182357885
+chr19:6746039-6746207,+chr19:6744810-6745005,+chr19:6746462-6746572
+chr14:21161705-21161809,+chr14:21152335-21152917,+chr14:21167513-21168758
+chr12:54676862-54677018,+chr12:54676583-54676658,+chr12:54677595-54677751
-chr17:74679928-74680009,-chr17:74681153-74681247,-chr17:74675650-74676961
+chr4:152021636-152021740,+chr4:152020753-152020866,+chr4:152024022-152025357
+chr2:228396853-228396925,+chr2:228395806-228395926,+chr2:228398264-228398474
-chr3:37132957-37133029,-chr3:37136282-37136399,-chr3:37125126-37125297
+chr10:79797722-79797740,+chr10:79796951-79797062,+chr10:79799961-79799983
+chr11:129993506-129993674,+chr11:129992199-129992408,+chr11:129996594-129996725
-chr4:83292680-83292737,-chr4:83294598-83295149,-chr4:83280623-83280792
-chr4:83277689-83277836,-chr4:83277948-83278048,-chr4:83276456-83276554
-chr12:10862506-10862713,-chr12:10865809-10865932,-chr12:10856649-10856747
+chr4:95506136-95506154,+chr4:95497093-95497185,+chr4:95506715-95506888
+chr7:128490029-128490128,+chr7:128489384-128489632,+chr7:128490437-128490537
